id_CH;id_ZH;id_RO;empire;kingdom;phylum;class;order;family;genus;species;size;potentiallyToxic;affiliation;synonyms;EstimatedBiovolumesFromLiterature;Literature;volume_um.3;kremer_key;kremer_match;min_nu.biovol;mn_nu.biovol;mdn_nu.biovol;max_nu.biovol;sd_nu.biovol;n;mn_cells.per.nu;n_sources;w.tsn;analysis;comments;size_category;motility;physiology;colony_growth;stRategy;cell_shape;special_nutrition;volume_um.3.1;surface_um.2;VWS;GRE;HAL;SEM;BAL;BoOber;Unter;WAL;qualifier_as_food;species_buergi;coloniality;comments_coloniality;guild;guild.code
118;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Gomphosphaeriaceae;Gomphosphaeria;aponina;;NA;Gomphosphaeria aponina;;NA;;190;Gomphosphaeria aponina;species;2,870208761;3,381030667;3,500771276;3,65079304;0,240912748;19;NA;1;715;all;NA;d;c;a;f;K;b;NA;190;130;NA;NA;NA;NA;NA;130;130;NA;10;Gomphosphaeria aponina;3;cells periferical with stalks;cyanobacteria;P2
119;NA;s019;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Woronichinia;naegeliana;;1;Woronichinia naegeliana;Coelosphaerium naegelianum;NA;;75;Coelosphaerium naegelianum;species;0,664641976;1,833713137;1,372543801;3,922029095;1,02795924;381;49,33595801;3;793;all;NA;d;b;a;f;R;b;NA;75;85;NA;NA;NA;NA;NA;75;75;NA;7;Woronichinia naegeliana;3;cells periferical with stalks;cyanobacteria;P2
120;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Coelosphaeriaceae;Woronichinia;compacta;;1;Woronichinia compacta;;NA;;10;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;a;f;K;b;NA;10;20;NA;NA;NA;NA;NA;NA;NA;NA;8;Woronichinia compacta;3;;cyanobacteria;P2
121;NA;s024;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Microcystaceae;Gloeocapsa;sp;;NA;Gloeocapsa sp;;NA;;10;Gloeocapsa;genus;-0,283996656;1,351993192;1,508902598;2,843176696;1,085249794;26;1;3;682;all;NA;d;c;a;f;K;a;c;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gloeocapsa sp;3;;cyanobacteria;P2
122;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Microcystaceae;Gloeocapsa;atrata;;NA;Gloeocapsa atrata;Gloeocapsa montana;NA;;10;Gloeocapsa;genus;-0,283996656;1,351993192;1,508902598;2,843176696;1,085249794;26;1;3;682;all;NA;d;c;a;f;K;a;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gloeocapsa atrata;3;;cyanobacteria;P2
123;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Microcystaceae;Gloeocapsa;sanguinea;;NA;Gloeocapsa sanguinea;;NA;;30;Gloeocapsa;genus;-0,283996656;1,351993192;1,508902598;2,843176696;1,085249794;26;1;3;682;all;NA;d;c;a;f;K;a;NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gloeocapsa sanguinea;3;;cyanobacteria;P2
124;NA;s025;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Gloeothece;sp;;0;Gloeothece sp;;NA;;30;Gloeothece;genus;1,342027688;2,047893331;1,690059259;3,008813009;0,755082775;5;15,75;3;703;all;NA;d;c;a;f;K;g;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gloeothece sp;3;;cyanobacteria;P2
125;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Gloeothece;linearis;;0;Gloeothece linearis;;NA;;30;Gloeothece linearis;species;1,342027688;1,419478668;1,419478668;1,496929648;0,109532226;2;1;1;706;all;NA;d;c;a;f;K;g;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gloeothece linearis;3;;cyanobacteria;P2
126;201300;s034;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Merismopediaceae;Merismopedia;sp;;1;Merismopedia sp;;NA;;10;Merismopedia;genus;0,190331698;1,591724221;1,812780855;3,205353255;0,4821704;1184;18,22669234;7;727;all;NA;c;b;a;h;K;a;NA;10;20;NA;50;NA;NA;NA;10;10;NA;8;Merismopedia sp;2;;cyanobacteria;P2
127;NA;s032;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Merismopediaceae;Merismopedia;punctata;;1;Merismopedia punctata;;NA;;15;Merismopedia punctata;species;1,215373153;1,654574676;1,698970004;2,002300003;0,281978542;5;9,833333333;3;738;all;NA;c;c;a;h;K;a;NA;15;28;NA;NA;NA;NA;NA;15;15;NA;10;Merismopedia punctata;2;;cyanobacteria;P2
