"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"19",1987-05-04,1,1100000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"20",1987-09-21,4,220000,"indv./L","0_15m","Burkholderiales","Lampropedia","hyalina",NA,"",NA,10,"Lampropedia hyalina",1,"BAL"
"21",1987-12-14,2,43000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"22",1988-01-11,2,46000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"23",1988-02-07,2,26000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"24",1988-03-07,2,140,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"25",1989-12-11,2,1300,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"26",1990-01-08,2,130000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"27",1990-02-05,2,45000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"28",1990-03-05,2,62000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"29",1990-04-02,2,30000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"30",1990-07-23,2,13000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"31",1990-10-15,1,81000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"32",1990-10-15,2,61000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"33",1990-11-12,2,30000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"34",1990-12-10,1,180000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"35",1990-12-10,2,72000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"36",1991-01-14,2,71000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"37",1991-02-11,2,150000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"38",1991-03-11,2,78000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"39",1991-04-08,2,76000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"40",1991-06-03,1,31000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"41",1991-06-03,2,40000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"42",1991-10-21,2,110000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"43",1991-11-18,2,86000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"44",1991-12-16,1,62000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"45",1991-12-16,2,180000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"46",1992-01-13,2,180000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"47",1992-02-10,2,130000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"48",1992-03-09,1,150000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"49",1992-03-09,2,110000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"50",1992-10-19,2,78000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"51",1992-11-16,2,140000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"52",1992-12-14,2,83000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"53",1992-12-14,4,210000,"indv./L","0_15m","Burkholderiales","Lampropedia","hyalina",NA,"",NA,10,"Lampropedia hyalina",1,"BAL"
"54",1993-02-08,1,61000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"55",1993-03-08,2,26000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"56",1993-04-05,2,30000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"57",1993-06-01,2,180000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"58",1993-11-15,2,46000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"59",1994-02-07,2,69000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"60",1994-11-14,2,30000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"61",1994-12-12,2,92000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"62",1995-01-09,2,44000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"63",1995-10-16,2,83000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"64",1995-12-11,2,74000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"65",1996-10-15,1,310000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"66",1996-12-09,1,460000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"67",1997-09-22,2,80000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"68",1997-10-20,2,1600,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"69",1997-11-18,2,49000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"70",1997-12-15,2,90000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"71",1998-01-12,2,38000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
