"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"104",2008-07-14,15,690000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"105",2008-08-11,1,1686,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"106",2008-08-11,2,69000,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"107",2008-08-11,15,690000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"108",2008-09-15,1,6900,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"109",2008-09-15,2,110400,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"110",2008-11-10,1,1124,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"111",2008-11-10,2,18400,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"112",2008-12-08,1,13488,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"113",2008-12-08,2,43125,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"114",2009-02-09,1,10116,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"115",2009-02-09,2,65550,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"116",2009-02-09,15,337200,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"117",2009-03-02,1,1686,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"118",2009-03-02,2,24150,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"119",2009-03-02,15,50580,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"120",2009-06-17,1,3372,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"121",2009-06-17,2,55200,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"122",2009-06-17,15,1517400,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"123",2009-07-16,1,10116,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"124",2009-07-16,2,34500,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"125",2009-07-16,15,843000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"126",2009-08-13,1,5058,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"127",2009-08-13,2,34500,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"128",2009-09-08,2,62100,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"129",2009-09-08,15,168600,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"130",2009-10-07,2,27600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"131",2009-10-07,15,674400,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"132",2009-11-05,1,3372,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"133",2009-11-05,2,82800,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"134",2009-11-05,15,1035000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"135",2009-12-10,1,15736,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"136",2009-12-10,2,48300,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"137",2009-12-10,15,690000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"138",2010-01-11,1,52266,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"139",2010-01-11,2,27600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"140",2010-02-09,1,11802,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"141",2010-02-09,2,34500,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"142",2010-05-07,1,2248,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"143",2010-05-07,2,9200,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"144",2010-06-15,1,2248,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"145",2010-06-15,2,41400,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"146",2010-07-14,1,3372,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"147",2010-07-14,2,48300,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"148",2010-07-14,15,674400,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"149",2010-08-10,1,1686,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"150",2010-08-10,2,20700,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"151",2010-08-10,209,2427840,"indv./L","0_20m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,"Woronichinia sp",1,"GRE"
"152",2010-09-07,2,27600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"153",2010-09-07,15,2070000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"154",2010-09-07,209,84300,"indv./L","0_20m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,"Woronichinia sp",1,"GRE"
"155",2010-10-13,2,13800,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"156",2010-10-13,15,168600,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"157",2010-10-13,209,202320,"indv./L","0_20m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,"Woronichinia sp",1,"GRE"
"158",2010-11-10,1,1124,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"159",2010-11-10,2,27600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"160",2010-11-10,15,230000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"161",2010-11-10,209,33720,"indv./L","0_20m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,"Woronichinia sp",1,"GRE"
"162",2011-01-10,1,7306,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"163",2011-01-10,2,82800,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
